LotArea,Style,YearBuilt,SqFt,FullBath,HalfBath,Bedrooms,Rooms,SalePrice
31770,1Story,1960,1656,1,0,3,7,215000
11622,1Story,1961,896,1,0,2,5,105000
14267,1Story,1958,1329,1,1,3,6,172000
11160,1Story,1968,2110,2,1,3,8,244000
13830,2Story,1997,1629,2,1,3,6,189900
9978,2Story,1998,1604,2,1,3,7,195500
7500,2Story,1999,1804,2,1,3,7,189000
10000,2Story,1993,1655,2,1,3,7,175900
7980,1Story,1992,1187,2,0,3,6,185000
8402,2Story,1998,1465,2,1,3,7,180400
10176,1Story,1990,1341,1,1,2,5,171500
53504,2Story,2003,3279,3,1,4,12,538000
19138,1Story,1951,864,1,0,2,4,141000
13175,1Story,1978,2073,2,0,3,7,210000
7500,2Story,2000,1674,2,1,3,7,216000
11241,1Story,1970,1004,1,0,2,5,149000
12537,1Story,1971,1078,1,1,3,6,149900
8450,1Story,1968,1056,1,0,3,6,142000
8400,1Story,1970,882,1,0,2,4,126000
11478,1Story,2007,1704,2,0,3,7,306000
11520,1Story,2005,1698,2,0,3,7,275000
14122,1Story,2005,1822,2,0,3,8,259000
10171,1Story,2004,1535,2,0,3,7,214000
14300,1Story,2003,2696,2,1,3,10,5.00E+05
13650,2Story,2002,2250,2,1,3,7,320000
18494,1Story,2005,1324,2,0,3,6,199500
7851,2Story,2002,1960,2,1,4,8,216500
8577,2Story,2004,1733,2,1,3,7,185088
9505,2Story,2001,2035,2,1,3,8,222500
14774,2Story,1999,2599,2,1,4,10,333168
17433,2Story,1998,2475,2,1,4,7,355000
10593,1Story,1996,1720,2,0,3,7,260400
12256,2Story,1994,2622,2,1,3,9,325000
11764,2Story,1999,2270,2,1,4,9,290000
16770,2Story,1998,1839,2,1,4,7,221000
8987,1Story,2005,1595,2,0,2,6,221500
9000,1Story,2008,1566,2,0,3,7,262500
12552,2Story,2004,1947,2,1,3,8,254900
10440,1Story,2005,1468,2,0,2,6,271500
10142,2Story,2004,2084,2,1,4,8,233000
11920,2Story,2004,1659,2,1,3,8,181000
8880,2Story,1994,2110,2,1,3,8,205000
11218,2Story,1992,1845,2,1,3,8,189000
9453,2Story,1993,1744,2,1,3,7,194500
9672,1Story,1984,1097,2,0,3,6,152000
8400,2Story,1980,1564,2,1,3,7,171000
9800,1Story,1920,1012,1,0,2,5,67500
8450,1Story,1965,894,1,0,3,5,138500
9819,1Story,1967,900,1,0,3,5,122000
7500,1Story,1963,1040,1,1,3,5,133000
6897,1Story,1962,1040,1,1,3,6,127000
15410,1Story,1974,1494,2,0,3,7,169000
10186,2Story,1992,1923,2,1,3,8,190000
13143,2Story,1993,2349,2,1,4,9,362500
11134,2Story,1992,2225,2,1,4,7,285000
7379,2Story,2000,1848,2,1,3,7,254000
13517,2Story,1976,1479,2,1,3,6,130500
8000,1Story,2002,1492,2,0,3,6,230000
10456,1Story,1967,1829,2,0,4,8,218500
10791,2Story,1993,2495,2,1,4,9,243500
10603,1Story,1977,1610,2,0,3,6,205000
10421,2Story,1988,1714,2,1,3,7,196500
9360,1Story,1972,1381,1,1,3,5,197500
9600,2Story,1971,1645,1,2,4,7,171000
9600,1Story,1966,1232,1,1,3,6,142250
9790,1Story,1963,1328,1,1,3,6,143000
9320,1Story,1959,1225,1,1,3,6,128950
9680,1Story,1967,1510,2,0,3,6,178900
